STATION,NAME,DATE,TAVG,TMAX,TMIN
TZ000063862,"DODOMA, TZ",2019-01-01,76,88,
TZ000063862,"DODOMA, TZ",2019-01-02,77,89,68
TZ000063862,"DODOMA, TZ",2019-01-03,78,89,
TZ000063862,"DODOMA, TZ",2019-01-04,78,89,67
TZ000063862,"DODOMA, TZ",2019-01-05,78,89,68
TZ000063862,"DODOMA, TZ",2019-01-06,79,91,70
TZ000063862,"DODOMA, TZ",2019-01-07,76,89,
TZ000063862,"DODOMA, TZ",2019-01-08,74,,66
TZ000063862,"DODOMA, TZ",2019-01-09,71,,
TZ000063862,"DODOMA, TZ",2019-01-10,76,87,65
TZ000063862,"DODOMA, TZ",2019-01-11,78,86,69
TZ000063862,"DODOMA, TZ",2019-01-12,74,86,
TZ000063862,"DODOMA, TZ",2019-01-13,76,87,
TZ000063862,"DODOMA, TZ",2019-01-14,74,,67
TZ000063862,"DODOMA, TZ",2019-01-15,72,82,
TZ000063862,"DODOMA, TZ",2019-01-16,69,75,
TZ000063862,"DODOMA, TZ",2019-01-17,73,,
TZ000063862,"DODOMA, TZ",2019-01-18,71,,
TZ000063862,"DODOMA, TZ",2019-01-19,74,,67
TZ000063862,"DODOMA, TZ",2019-01-20,74,83,68
TZ000063862,"DODOMA, TZ",2019-01-21,74,84,68
TZ000063862,"DODOMA, TZ",2019-01-22,74,83,68
TZ000063862,"DODOMA, TZ",2019-01-23,75,85,
TZ000063862,"DODOMA, TZ",2019-01-24,74,,
TZ000063862,"DODOMA, TZ",2019-01-25,73,86,
TZ000063862,"DODOMA, TZ",2019-01-26,76,87,67
TZ000063862,"DODOMA, TZ",2019-01-27,77,89,67
TZ000063862,"DODOMA, TZ",2019-01-28,72,87,
TZ000063862,"DODOMA, TZ",2019-01-29,75,87,67
TZ000063862,"DODOMA, TZ",2019-01-30,75,88,66
TZ000063862,"DODOMA, TZ",2019-01-31,77,89,68
TZ000063862,"DODOMA, TZ",2019-02-01,77,90,
TZ000063862,"DODOMA, TZ",2019-02-02,78,91,67
TZ000063862,"DODOMA, TZ",2019-02-03,77,,69
TZ000063862,"DODOMA, TZ",2019-02-04,78,86,69
TZ000063862,"DODOMA, TZ",2019-02-05,78,89,
TZ000063862,"DODOMA, TZ",2019-02-06,77,90,68
TZ000063862,"DODOMA, TZ",2019-02-07,73,84,
TZ000063862,"DODOMA, TZ",2019-02-08,73,88,68
TZ000063862,"DODOMA, TZ",2019-02-09,76,88,68
TZ000063862,"DODOMA, TZ",2019-02-10,76,87,67
TZ000063862,"DODOMA, TZ",2019-02-11,76,86,
TZ000063862,"DODOMA, TZ",2019-02-12,76,88,
TZ000063862,"DODOMA, TZ",2019-02-13,74,88,66
TZ000063862,"DODOMA, TZ",2019-02-14,77,90,66
TZ000063862,"DODOMA, TZ",2019-02-15,81,93,67
TZ000063862,"DODOMA, TZ",2019-02-16,80,92,69
TZ000063862,"DODOMA, TZ",2019-02-17,81,92,70
TZ000063862,"DODOMA, TZ",2019-02-18,77,90,
TZ000063862,"DODOMA, TZ",2019-02-19,73,84,
TZ000063862,"DODOMA, TZ",2019-02-20,74,85,66
TZ000063862,"DODOMA, TZ",2019-02-21,74,86,
TZ000063862,"DODOMA, TZ",2019-02-22,76,88,66
TZ000063862,"DODOMA, TZ",2019-02-23,75,,
TZ000063862,"DODOMA, TZ",2019-02-24,73,,66
TZ000063862,"DODOMA, TZ",2019-02-25,77,89,
TZ000063862,"DODOMA, TZ",2019-02-26,77,89,
TZ000063862,"DODOMA, TZ",2019-02-27,77,89,67
TZ000063862,"DODOMA, TZ",2019-02-28,78,90,
TZ000063862,"DODOMA, TZ",2019-03-01,71,,
TZ000063862,"DODOMA, TZ",2019-03-02,72,81,
TZ000063862,"DODOMA, TZ",2019-03-03,72,81,
TZ000063862,"DODOMA, TZ",2019-03-04,72,85,66
TZ000063862,"DODOMA, TZ",2019-03-05,77,88,65
TZ000063862,"DODOMA, TZ",2019-03-06,73,83,66
TZ000063862,"DODOMA, TZ",2019-03-07,73,84,64
TZ000063862,"DODOMA, TZ",2019-03-08,76,89,66
TZ000063862,"DODOMA, TZ",2019-03-09,73,89,
TZ000063862,"DODOMA, TZ",2019-03-10,75,86,
TZ000063862,"DODOMA, TZ",2019-03-11,74,85,
TZ000063862,"DODOMA, TZ",2019-03-12,77,90,68
TZ000063862,"DODOMA, TZ",2019-03-13,73,88,69
TZ000063862,"DODOMA, TZ",2019-03-14,76,88,67
TZ000063862,"DODOMA, TZ",2019-03-15,74,,
TZ000063862,"DODOMA, TZ",2019-03-16,77,90,65
TZ000063862,"DODOMA, TZ",2019-03-17,78,,66
TZ000063862,"DODOMA, TZ",2019-03-18,77,90,67
TZ000063862,"DODOMA, TZ",2019-03-20,78,92,67
TZ000063862,"DODOMA, TZ",2019-03-21,79,91,69
TZ000063862,"DODOMA, TZ",2019-03-22,79,92,69
TZ000063862,"DODOMA, TZ",2019-03-23,78,90,67
TZ000063862,"DODOMA, TZ",2019-03-24,76,,
TZ000063862,"DODOMA, TZ",2019-03-25,83,,68
TZ000063862,"DODOMA, TZ",2019-03-26,81,92,69
TZ000063862,"DODOMA, TZ",2019-03-27,77,91,
TZ000063862,"DODOMA, TZ",2019-03-28,76,90,70
TZ000063862,"DODOMA, TZ",2019-03-29,76,88,68
TZ000063862,"DODOMA, TZ",2019-03-30,69,73,67
TZ000063862,"DODOMA, TZ",2019-03-31,73,83,
TZ000063862,"DODOMA, TZ",2019-04-01,74,86,
TZ000063862,"DODOMA, TZ",2019-04-02,75,,68
TZ000063862,"DODOMA, TZ",2019-04-03,69,,
TZ000063862,"DODOMA, TZ",2019-04-04,74,84,
TZ000063862,"DODOMA, TZ",2019-04-05,73,85,
TZ000063862,"DODOMA, TZ",2019-04-06,77,86,67
TZ000063862,"DODOMA, TZ",2019-04-07,76,86,
TZ000063862,"DODOMA, TZ",2019-04-08,75,87,69
TZ000063862,"DODOMA, TZ",2019-04-09,76,86,
TZ000063862,"DODOMA, TZ",2019-04-10,75,86,
TZ000063862,"DODOMA, TZ",2019-04-11,76,87,67
TZ000063862,"DODOMA, TZ",2019-04-12,74,85,
TZ000063862,"DODOMA, TZ",2019-04-13,75,86,68
TZ000063862,"DODOMA, TZ",2019-04-14,75,87,
TZ000063862,"DODOMA, TZ",2019-04-15,75,,
TZ000063862,"DODOMA, TZ",2019-04-16,82,,66
TZ000063862,"DODOMA, TZ",2019-04-17,79,91,
TZ000063862,"DODOMA, TZ",2019-04-18,76,89,
TZ000063862,"DODOMA, TZ",2019-04-19,76,88,68
TZ000063862,"DODOMA, TZ",2019-04-20,76,,67
TZ000063862,"DODOMA, TZ",2019-04-21,75,87,67
TZ000063862,"DODOMA, TZ",2019-04-22,77,90,
TZ000063862,"DODOMA, TZ",2019-04-23,71,78,
TZ000063862,"DODOMA, TZ",2019-04-24,74,86,
TZ000063862,"DODOMA, TZ",2019-04-25,80,,68
TZ000063862,"DODOMA, TZ",2019-04-26,70,75,
TZ000063862,"DODOMA, TZ",2019-04-27,72,85,
TZ000063862,"DODOMA, TZ",2019-04-28,73,85,
TZ000063862,"DODOMA, TZ",2019-04-29,76,86,66
TZ000063862,"DODOMA, TZ",2019-04-30,74,85,67
TZ000063862,"DODOMA, TZ",2019-05-01,75,86,
TZ000063862,"DODOMA, TZ",2019-05-02,75,85,
TZ000063862,"DODOMA, TZ",2019-05-03,75,85,66
TZ000063862,"DODOMA, TZ",2019-05-04,72,84,
TZ000063862,"DODOMA, TZ",2019-05-05,73,82,66
TZ000063862,"DODOMA, TZ",2019-05-06,71,80,66
TZ000063862,"DODOMA, TZ",2019-05-07,70,80,
TZ000063862,"DODOMA, TZ",2019-05-08,67,83,
TZ000063862,"DODOMA, TZ",2019-05-09,71,81,63
TZ000063862,"DODOMA, TZ",2019-05-10,73,81,
TZ000063862,"DODOMA, TZ",2019-05-11,71,82,
TZ000063862,"DODOMA, TZ",2019-05-12,71,82,65
TZ000063862,"DODOMA, TZ",2019-05-13,72,81,66
TZ000063862,"DODOMA, TZ",2019-05-14,73,81,
TZ000063862,"DODOMA, TZ",2019-05-15,73,83,66
TZ000063862,"DODOMA, TZ",2019-05-16,72,82,65
TZ000063862,"DODOMA, TZ",2019-05-17,73,81,63
TZ000063862,"DODOMA, TZ",2019-05-18,71,80,66
TZ000063862,"DODOMA, TZ",2019-05-19,72,82,65
TZ000063862,"DODOMA, TZ",2019-05-20,71,82,
TZ000063862,"DODOMA, TZ",2019-05-21,70,84,
TZ000063862,"DODOMA, TZ",2019-05-22,74,82,
TZ000063862,"DODOMA, TZ",2019-05-23,68,74,
TZ000063862,"DODOMA, TZ",2019-05-24,71,78,
TZ000063862,"DODOMA, TZ",2019-05-25,70,81,65
TZ000063862,"DODOMA, TZ",2019-05-26,72,,
TZ000063862,"DODOMA, TZ",2019-05-27,71,81,
TZ000063862,"DODOMA, TZ",2019-05-28,71,83,62
TZ000063862,"DODOMA, TZ",2019-05-29,69,83,
TZ000063862,"DODOMA, TZ",2019-05-30,75,,62
TZ000063862,"DODOMA, TZ",2019-05-31,76,,62
TZ000063862,"DODOMA, TZ",2019-06-01,71,84,63
TZ000063862,"DODOMA, TZ",2019-06-02,71,84,
TZ000063862,"DODOMA, TZ",2019-06-03,71,,60
TZ000063862,"DODOMA, TZ",2019-06-04,71,83,59
TZ000063862,"DODOMA, TZ",2019-06-05,74,,
TZ000063862,"DODOMA, TZ",2019-06-06,68,81,59
TZ000063862,"DODOMA, TZ",2019-06-07,68,80,
TZ000063862,"DODOMA, TZ",2019-06-08,72,,60
TZ000063862,"DODOMA, TZ",2019-06-10,67,81,
TZ000063862,"DODOMA, TZ",2019-06-11,69,,60
TZ000063862,"DODOMA, TZ",2019-06-12,69,81,60
TZ000063862,"DODOMA, TZ",2019-06-13,71,81,62
TZ000063862,"DODOMA, TZ",2019-06-14,71,81,62
TZ000063862,"DODOMA, TZ",2019-06-15,70,,
TZ000063862,"DODOMA, TZ",2019-06-16,71,81,
TZ000063862,"DODOMA, TZ",2019-06-17,70,81,
TZ000063862,"DODOMA, TZ",2019-06-18,69,88,56
TZ000063862,"DODOMA, TZ",2019-06-19,70,83,
TZ000063862,"DODOMA, TZ",2019-06-20,72,84,
TZ000063862,"DODOMA, TZ",2019-06-21,69,81,61
TZ000063862,"DODOMA, TZ",2019-06-22,68,81,58
TZ000063862,"DODOMA, TZ",2019-06-23,71,84,
TZ000063862,"DODOMA, TZ",2019-06-24,71,,61
TZ000063862,"DODOMA, TZ",2019-06-25,71,81,63
TZ000063862,"DODOMA, TZ",2019-06-26,72,82,62
TZ000063862,"DODOMA, TZ",2019-06-27,71,82,62
TZ000063862,"DODOMA, TZ",2019-06-28,70,83,60
TZ000063862,"DODOMA, TZ",2019-06-29,68,81,61
TZ000063862,"DODOMA, TZ",2019-06-30,71,82,56
TZ000063862,"DODOMA, TZ",2019-07-01,73,84,62
TZ000063862,"DODOMA, TZ",2019-07-02,73,84,62
TZ000063862,"DODOMA, TZ",2019-07-03,70,83,64
TZ000063862,"DODOMA, TZ",2019-07-04,70,,60
TZ000063862,"DODOMA, TZ",2019-07-05,69,81,60
TZ000063862,"DODOMA, TZ",2019-07-06,69,,61
TZ000063862,"DODOMA, TZ",2019-07-07,71,81,
TZ000063862,"DODOMA, TZ",2019-07-08,71,,62
TZ000063862,"DODOMA, TZ",2019-07-09,72,83,62
TZ000063862,"DODOMA, TZ",2019-07-10,71,82,
TZ000063862,"DODOMA, TZ",2019-07-11,70,81,
